Data ;Jogo 1;Jogo 2;Jogo 3;Jogo 4;Jogo 5;Jogo 6;Jogo 7;Jogo 8;Jogo 9;Jogo 10;Jogo 11;Jogo 12;Jogo 13;Jogo 14
18/02/2002;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1
25/02/2002;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1
04/03/2002;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1
11/03/2002;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1
18/03/2002;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 2
25/03/2002;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
01/04/2002;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1
08/04/2002;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
18/04/2002;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 2
22/04/2002;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2
29/04/2002;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
06/05/2002;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna do meio
13/05/2002;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1
20/05/2002;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio
27/05/2002;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 2;Coluna do meio;Coluna 2
06/06/2002;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2
11/06/2002;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio
14/06/2002;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
18/06/2002;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1
24/06/2002;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna do meio
