Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Trevo1;Trevo2;;;;;;;;;;;;;;;;;;;;;;;;;
28/05/2022;1;3;7;15;23;44;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
04/06/2022;13;16;35;41;42;47;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
11/06/2022;1;9;17;30;31;44;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
18/06/2022;6;23;25;33;34;47;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
25/06/2022;6;16;21;24;26;45;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
02/07/2022;1;19;22;32;39;45;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
09/07/2022;9;12;35;44;47;48;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
16/07/2022;1;4;5;16;38;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
23/07/2022;6;11;12;14;15;18;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
30/07/2022;4;6;10;42;47;48;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
06/08/2022;4;13;15;31;39;45;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
13/08/2022;6;20;24;26;31;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
20/08/2022;14;31;39;44;45;46;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
27/08/2022;12;13;42;46;48;49;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
03/09/2022;3;35;37;39;41;50;4;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/09/2022;3;11;13;23;33;47;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
17/09/2022;3;17;25;46;48;50;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
24/09/2022;10;18;20;39;42;49;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
01/10/2022;6;19;33;34;39;47;3;5;;;;;;;;;;;;;;;;;;;;;;;;;
08/10/2022;4;8;10;11;22;25;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
15/10/2022;4;26;27;29;34;35;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
22/10/2022;5;22;28;46;47;48;3;4;;;;;;;;;;;;;;;;;;;;;;;;;
29/10/2022;4;5;11;27;34;50;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
05/11/2022;22;29;31;32;36;45;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
12/11/2022;10;14;21;31;39;42;3;6;;;;;;;;;;;;;;;;;;;;;;;;;
19/11/2022;5;12;26;31;34;50;5;6;;;;;;;;;;;;;;;;;;;;;;;;;
26/11/2022;3;16;17;21;23;37;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
03/12/2022;2;7;29;40;41;50;2;6;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2022;12;22;30;33;43;44;2;5;;;;;;;;;;;;;;;;;;;;;;;;;
