Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;;;;;;;;;;;;;;
13/03/1994;25;45;60;76;79;;;;;;;;;;;;;;
17/03/1994;13;30;58;63;64;;;;;;;;;;;;;;
20/03/1994;5;15;32;33;48;;;;;;;;;;;;;;
24/03/1994;27;57;60;61;77;;;;;;;;;;;;;;
27/03/1994;19;44;53;54;71;;;;;;;;;;;;;;
03/04/1994;4;45;54;65;67;;;;;;;;;;;;;;
07/04/1994;9;21;37;42;68;;;;;;;;;;;;;;
10/04/1994;5;16;26;28;62;;;;;;;;;;;;;;
14/04/1994;4;15;44;64;73;;;;;;;;;;;;;;
17/04/1994;20;32;49;54;62;;;;;;;;;;;;;;
24/04/1994;17;33;52;60;76;;;;;;;;;;;;;;
28/04/1994;1;28;56;65;79;;;;;;;;;;;;;;
01/05/1994;13;33;38;39;72;;;;;;;;;;;;;;
05/05/1994;44;52;60;64;68;;;;;;;;;;;;;;
08/05/1994;2;25;54;63;66;;;;;;;;;;;;;;
12/05/1994;11;24;63;64;69;;;;;;;;;;;;;;
15/05/1994;1;14;26;34;72;;;;;;;;;;;;;;
19/05/1994;6;29;40;63;72;;;;;;;;;;;;;;
22/05/1994;12;21;42;60;66;;;;;;;;;;;;;;
26/05/1994;13;16;31;39;70;;;;;;;;;;;;;;
29/05/1994;5;15;38;48;77;;;;;;;;;;;;;;
05/06/1994;7;9;11;25;75;;;;;;;;;;;;;;
09/06/1994;1;15;63;72;77;;;;;;;;;;;;;;
12/06/1994;9;44;57;67;68;;;;;;;;;;;;;;
16/06/1994;2;29;46;69;76;;;;;;;;;;;;;;
19/06/1994;10;15;22;55;79;;;;;;;;;;;;;;
23/06/1994;5;36;39;70;78;;;;;;;;;;;;;;
26/06/1994;8;26;28;29;30;;;;;;;;;;;;;;
03/07/1994;20;23;31;35;76;;;;;;;;;;;;;;
07/07/1994;12;13;14;56;60;;;;;;;;;;;;;;
10/07/1994;43;51;54;69;73;;;;;;;;;;;;;;
14/07/1994;9;23;31;60;80;;;;;;;;;;;;;;
18/07/1994;21;31;44;65;74;;;;;;;;;;;;;;
21/07/1994;17;45;64;67;69;;;;;;;;;;;;;;
24/07/1994;44;52;54;56;60;;;;;;;;;;;;;;
28/07/1994;42;56;62;65;79;;;;;;;;;;;;;;
31/07/1994;9;26;31;36;65;;;;;;;;;;;;;;
04/08/1994;11;12;57;59;69;;;;;;;;;;;;;;
07/08/1994;5;7;21;28;70;;;;;;;;;;;;;;
11/08/1994;2;18;31;38;49;;;;;;;;;;;;;;
14/08/1994;5;14;31;41;49;;;;;;;;;;;;;;
18/08/1994;15;33;39;76;78;;;;;;;;;;;;;;
21/08/1994;5;18;21;41;71;;;;;;;;;;;;;;
25/08/1994;2;7;57;59;76;;;;;;;;;;;;;;
28/08/1994;2;3;27;64;65;;;;;;;;;;;;;;
01/09/1994;30;49;72;78;80;;;;;;;;;;;;;;
04/09/1994;10;18;22;31;73;;;;;;;;;;;;;;
11/09/1994;20;39;72;73;76;;;;;;;;;;;;;;
15/09/1994;10;19;39;52;66;;;;;;;;;;;;;;
18/09/1994;4;10;15;42;45;;;;;;;;;;;;;;
22/09/1994;2;20;26;42;79;;;;;;;;;;;;;;
25/09/1994;6;39;41;61;64;;;;;;;;;;;;;;
29/09/1994;40;42;48;64;69;;;;;;;;;;;;;;
02/10/1994;13;21;32;33;66;;;;;;;;;;;;;;
09/10/1994;12;14;60;66;68;;;;;;;;;;;;;;
16/10/1994;5;18;24;43;48;;;;;;;;;;;;;;
17/10/1994;31;49;52;63;71;;;;;;;;;;;;;;
23/10/1994;34;41;50;67;77;;;;;;;;;;;;;;
27/10/1994;20;35;37;42;71;;;;;;;;;;;;;;
30/10/1994;19;25;32;68;71;;;;;;;;;;;;;;
06/11/1994;27;54;63;71;77;;;;;;;;;;;;;;
10/11/1994;3;12;24;36;40;;;;;;;;;;;;;;
13/11/1994;11;40;50;74;78;;;;;;;;;;;;;;
20/11/1994;25;43;52;59;75;;;;;;;;;;;;;;
24/11/1994;3;25;60;62;75;;;;;;;;;;;;;;
27/11/1994;66;73;75;76;79;;;;;;;;;;;;;;
01/12/1994;5;23;36;67;70;;;;;;;;;;;;;;
04/12/1994;7;52;68;69;76;;;;;;;;;;;;;;
08/12/1994;16;61;65;72;78;;;;;;;;;;;;;;
11/12/1994;5;25;52;57;62;;;;;;;;;;;;;;
15/12/1994;27;55;66;73;75;;;;;;;;;;;;;;
18/12/1994;12;23;39;54;72;;;;;;;;;;;;;;
26/12/1994;6;17;49;65;70;;;;;;;;;;;;;;
02/01/1995;41;47;49;70;74;;;;;;;;;;;;;;
05/01/1995;4;27;46;53;55;;;;;;;;;;;;;;
08/01/1995;3;23;58;62;74;;;;;;;;;;;;;;
12/01/1995;6;9;27;43;65;;;;;;;;;;;;;;
15/01/1995;2;19;50;59;69;;;;;;;;;;;;;;
19/01/1995;4;18;55;57;74;;;;;;;;;;;;;;
22/01/1995;35;42;55;60;78;;;;;;;;;;;;;;
26/01/1995;13;31;45;56;63;;;;;;;;;;;;;;
29/01/1995;13;34;55;64;80;;;;;;;;;;;;;;
02/02/1995;17;20;30;33;68;;;;;;;;;;;;;;
05/02/1995;1;8;13;53;61;;;;;;;;;;;;;;
09/02/1995;3;20;27;32;61;;;;;;;;;;;;;;
12/02/1995;13;49;57;67;78;;;;;;;;;;;;;;
16/02/1995;18;29;37;51;57;;;;;;;;;;;;;;
19/02/1995;11;25;49;51;53;;;;;;;;;;;;;;
23/02/1995;2;32;40;53;54;;;;;;;;;;;;;;
26/02/1995;8;16;32;74;79;;;;;;;;;;;;;;
05/03/1995;7;30;33;52;69;;;;;;;;;;;;;;
09/03/1995;11;25;29;42;66;;;;;;;;;;;;;;
12/03/1995;4;6;27;68;74;;;;;;;;;;;;;;
16/03/1995;1;19;59;65;80;;;;;;;;;;;;;;
19/03/1995;6;43;50;63;71;;;;;;;;;;;;;;
23/03/1995;4;50;51;52;77;;;;;;;;;;;;;;
26/03/1995;5;6;16;54;70;;;;;;;;;;;;;;
30/03/1995;4;16;17;35;49;;;;;;;;;;;;;;
02/04/1995;2;9;17;66;76;;;;;;;;;;;;;;
06/04/1995;33;36;56;58;60;;;;;;;;;;;;;;
09/04/1995;12;27;28;30;36;;;;;;;;;;;;;;
16/04/1995;5;23;50;65;67;;;;;;;;;;;;;;
23/04/1995;12;16;53;64;66;;;;;;;;;;;;;;
27/04/1995;20;30;36;48;53;;;;;;;;;;;;;;
30/04/1995;3;7;45;46;65;;;;;;;;;;;;;;
07/05/1995;20;21;43;45;67;;;;;;;;;;;;;;
11/05/1995;2;3;30;39;72;;;;;;;;;;;;;;
14/05/1995;1;19;50;52;54;;;;;;;;;;;;;;
18/05/1995;1;21;27;48;78;;;;;;;;;;;;;;
21/05/1995;1;19;27;36;57;;;;;;;;;;;;;;
25/05/1995;15;42;54;68;76;;;;;;;;;;;;;;
28/05/1995;31;41;75;76;79;;;;;;;;;;;;;;
01/06/1995;12;14;42;61;69;;;;;;;;;;;;;;
04/06/1995;10;20;44;58;65;;;;;;;;;;;;;;
08/06/1995;2;21;38;54;73;;;;;;;;;;;;;;
11/06/1995;16;20;34;56;57;;;;;;;;;;;;;;
18/06/1995;7;11;24;42;49;;;;;;;;;;;;;;
22/06/1995;14;23;26;56;77;;;;;;;;;;;;;;
25/06/1995;2;16;19;26;27;;;;;;;;;;;;;;
29/06/1995;7;39;48;58;62;;;;;;;;;;;;;;
02/07/1995;19;22;53;69;77;;;;;;;;;;;;;;
06/07/1995;2;8;12;53;54;;;;;;;;;;;;;;
09/07/1995;8;20;64;68;73;;;;;;;;;;;;;;
13/07/1995;10;11;12;23;37;;;;;;;;;;;;;;
16/07/1995;10;13;22;50;66;;;;;;;;;;;;;;
20/07/1995;4;12;63;78;80;;;;;;;;;;;;;;
23/07/1995;14;18;59;60;64;;;;;;;;;;;;;;
27/07/1995;17;24;47;49;66;;;;;;;;;;;;;;
30/07/1995;5;9;12;23;71;;;;;;;;;;;;;;
02/08/1995;18;34;38;40;43;;;;;;;;;;;;;;
06/08/1995;13;32;56;73;74;;;;;;;;;;;;;;
10/08/1995;19;25;63;74;77;;;;;;;;;;;;;;
13/08/1995;13;18;43;47;53;;;;;;;;;;;;;;
17/08/1995;10;28;60;62;74;;;;;;;;;;;;;;
20/08/1995;2;53;57;62;64;;;;;;;;;;;;;;
24/08/1995;9;19;24;59;61;;;;;;;;;;;;;;
28/08/1995;13;14;37;66;75;;;;;;;;;;;;;;
31/08/1995;13;23;37;56;80;;;;;;;;;;;;;;
03/09/1995;14;52;54;65;77;;;;;;;;;;;;;;
10/09/1995;32;43;50;57;75;;;;;;;;;;;;;;
14/09/1995;6;51;53;54;57;;;;;;;;;;;;;;
17/09/1995;15;21;56;79;80;;;;;;;;;;;;;;
21/09/1995;14;27;39;48;61;;;;;;;;;;;;;;
24/09/1995;16;24;42;71;75;;;;;;;;;;;;;;
28/09/1995;2;8;40;55;60;;;;;;;;;;;;;;
01/10/1995;12;18;21;31;69;;;;;;;;;;;;;;
05/10/1995;1;18;52;67;72;;;;;;;;;;;;;;
08/10/1995;32;33;43;46;52;;;;;;;;;;;;;;
15/10/1995;8;16;18;22;73;;;;;;;;;;;;;;
19/10/1995;12;24;26;39;40;;;;;;;;;;;;;;
22/10/1995;22;23;42;54;65;;;;;;;;;;;;;;
26/10/1995;5;14;31;38;75;;;;;;;;;;;;;;
29/10/1995;2;10;11;15;66;;;;;;;;;;;;;;
05/11/1995;5;9;41;64;67;;;;;;;;;;;;;;
09/11/1995;12;30;48;70;75;;;;;;;;;;;;;;
12/11/1995;7;12;29;54;55;;;;;;;;;;;;;;
19/11/1995;42;50;52;66;72;;;;;;;;;;;;;;
23/11/1995;2;27;35;44;55;;;;;;;;;;;;;;
26/11/1995;4;11;24;25;32;;;;;;;;;;;;;;
30/11/1995;8;25;42;60;63;;;;;;;;;;;;;;
03/12/1995;13;29;41;61;74;;;;;;;;;;;;;;
07/12/1995;20;25;57;67;78;;;;;;;;;;;;;;
10/12/1995;9;14;16;52;71;;;;;;;;;;;;;;
14/12/1995;7;9;19;45;80;;;;;;;;;;;;;;
17/12/1995;12;21;27;45;75;;;;;;;;;;;;;;
21/12/1995;2;31;41;43;44;;;;;;;;;;;;;;
26/12/1995;20;33;62;63;69;;;;;;;;;;;;;;
02/01/1996;15;26;30;44;69;;;;;;;;;;;;;;
07/01/1996;3;15;30;56;72;;;;;;;;;;;;;;
11/01/1996;18;22;27;74;75;;;;;;;;;;;;;;
14/01/1996;12;18;37;47;56;;;;;;;;;;;;;;
18/01/1996;37;38;57;67;79;;;;;;;;;;;;;;
21/01/1996;22;29;34;42;51;;;;;;;;;;;;;;
25/01/1996;11;16;23;44;48;;;;;;;;;;;;;;
28/01/1996;29;60;64;72;79;;;;;;;;;;;;;;
01/02/1996;1;27;29;36;73;;;;;;;;;;;;;;
04/02/1996;9;33;48;67;73;;;;;;;;;;;;;;
08/02/1996;5;14;15;66;68;;;;;;;;;;;;;;
11/02/1996;30;60;65;68;75;;;;;;;;;;;;;;
15/02/1996;1;20;23;25;49;;;;;;;;;;;;;;
18/02/1996;6;21;31;37;64;;;;;;;;;;;;;;
25/02/1996;9;44;46;57;59;;;;;;;;;;;;;;
29/02/1996;20;33;48;69;70;;;;;;;;;;;;;;
03/03/1996;22;29;38;58;62;;;;;;;;;;;;;;
07/03/1996;9;24;28;31;45;;;;;;;;;;;;;;
10/03/1996;6;20;21;46;63;;;;;;;;;;;;;;
14/03/1996;2;43;45;64;68;;;;;;;;;;;;;;
17/03/1996;28;43;56;57;77;;;;;;;;;;;;;;
21/03/1996;1;5;52;53;71;;;;;;;;;;;;;;
24/03/1996;21;29;46;59;76;;;;;;;;;;;;;;
28/03/1996;4;7;19;35;56;;;;;;;;;;;;;;
31/03/1996;16;37;54;68;77;;;;;;;;;;;;;;
07/04/1996;12;13;51;67;73;;;;;;;;;;;;;;
11/04/1996;14;19;32;37;45;;;;;;;;;;;;;;
14/04/1996;8;23;50;65;73;;;;;;;;;;;;;;
18/04/1996;10;27;30;72;78;;;;;;;;;;;;;;
21/04/1996;3;27;30;33;59;;;;;;;;;;;;;;
25/04/1996;6;14;18;71;73;;;;;;;;;;;;;;
28/04/1996;3;31;47;77;79;;;;;;;;;;;;;;
05/05/1996;19;21;64;70;72;;;;;;;;;;;;;;
09/05/1996;7;71;73;76;79;;;;;;;;;;;;;;
12/05/1996;6;37;43;61;62;;;;;;;;;;;;;;
16/05/1996;3;13;17;47;60;;;;;;;;;;;;;;
19/05/1996;7;11;21;51;58;;;;;;;;;;;;;;
23/05/1996;4;9;31;40;58;;;;;;;;;;;;;;
26/05/1996;1;10;36;62;64;;;;;;;;;;;;;;
30/05/1996;5;7;12;16;66;;;;;;;;;;;;;;
02/06/1996;3;24;48;52;71;;;;;;;;;;;;;;
09/06/1996;26;37;61;67;71;;;;;;;;;;;;;;
13/06/1996;10;14;32;53;61;;;;;;;;;;;;;;
16/06/1996;3;11;19;31;39;;;;;;;;;;;;;;
20/06/1996;38;46;50;65;69;;;;;;;;;;;;;;
23/06/1996;5;13;14;34;63;;;;;;;;;;;;;;
27/06/1996;10;19;24;34;72;;;;;;;;;;;;;;
30/06/1996;37;46;49;62;73;;;;;;;;;;;;;;
04/07/1996;31;32;34;54;59;;;;;;;;;;;;;;
07/07/1996;8;41;56;65;74;;;;;;;;;;;;;;
11/07/1996;17;26;31;33;63;;;;;;;;;;;;;;
14/07/1996;3;19;32;59;63;;;;;;;;;;;;;;
