Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time Coraá∆o;;;;;;;;;;;;;;;;;
01/03/2008;24;31;51;57;63;71;80;PALMAS/TO;;;;;;;;;;;;;;;;;
08/03/2008;18;20;25;31;50;63;77;S«O PAULO/SP;;;;;;;;;;;;;;;;;
15/03/2008;9;21;29;36;43;72;74;NµUTICO/PE;;;;;;;;;;;;;;;;;
22/03/2008;15;38;54;66;68;70;71;S«O RAIMUNDO/AM;;;;;;;;;;;;;;;;;
29/03/2008;15;20;23;24;51;54;58;MIXTO/MT;;;;;;;;;;;;;;;;;
05/04/2008;1;8;17;55;59;60;80;RIO BRANCO/AC;;;;;;;;;;;;;;;;;
13/04/2008;15;18;29;37;42;55;77;UBERL∂NDIA/MG;;;;;;;;;;;;;;;;;
20/04/2008;48;50;61;71;74;75;76;ATLêTICO/MG;;;;;;;;;;;;;;;;;
27/04/2008;5;24;37;56;58;69;78;PALMAS/TO;;;;;;;;;;;;;;;;;
04/05/2008;1;14;23;37;53;59;74;JI-PARANµ / RO;;;;;;;;;;;;;;;;;
17/05/2008;2;13;15;24;39;56;73;AMêRICA/RN;;;;;;;;;;;;;;;;;
24/05/2008;6;28;32;37;73;75;79;U BARBARENSE;;;;;;;;;;;;;;;;;
31/05/2008;15;19;32;51;57;60;68;BRASILIENSE/DF;;;;;;;;;;;;;;;;;
08/06/2008;3;9;20;21;25;58;64;VILA NOVA/GO;;;;;;;;;;;;;;;;;
15/06/2008;5;38;42;52;55;57;59;FORTALEZA/CE;;;;;;;;;;;;;;;;;
22/06/2008;10;12;20;23;30;50;53;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
29/06/2008;9;15;26;33;54;63;70;PORT DESPORT;;;;;;;;;;;;;;;;;
06/07/2008;26;38;44;49;55;60;75;CSA/AL;;;;;;;;;;;;;;;;;
13/07/2008;19;28;37;39;53;64;73;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
20/07/2008;1;15;46;59;65;75;80;FLUMINENSE/RJ;;;;;;;;;;;;;;;;;
27/07/2008;4;7;21;52;55;60;78;LONDRINA/PR;;;;;;;;;;;;;;;;;
03/08/2008;12;16;17;20;23;60;62;GAMA/DF;;;;;;;;;;;;;;;;;
10/08/2008;4;59;61;62;72;78;80;PARANµ/PR;;;;;;;;;;;;;;;;;
17/08/2008;4;23;44;47;49;51;75;YPIRANGA/AP;;;;;;;;;;;;;;;;;
24/08/2008;7;14;22;48;54;70;74;ATLêTICO/MG;;;;;;;;;;;;;;;;;
31/08/2008;4;8;20;31;48;54;55;GR“MIO/RS;;;;;;;;;;;;;;;;;
07/09/2008;15;24;26;55;66;72;78;SANTOS/SP;;;;;;;;;;;;;;;;;
14/09/2008;4;8;25;34;49;52;68;RIO BRANCO/AC;;;;;;;;;;;;;;;;;
21/09/2008;1;9;19;20;33;44;69;AMêRICA/RN;;;;;;;;;;;;;;;;;
28/09/2008;1;12;46;52;63;70;74;BAHIA/BA;;;;;;;;;;;;;;;;;
05/10/2008;2;19;23;25;41;45;54;VIT‡RIA/BA;;;;;;;;;;;;;;;;;
11/10/2008;13;29;30;35;62;78;79;S«O RAIMUNDO/AM;;;;;;;;;;;;;;;;;
26/10/2008;16;20;25;50;70;75;77;FORTALEZA/CE;;;;;;;;;;;;;;;;;
01/11/2008;10;20;42;54;58;59;72;MIXTO/MT;;;;;;;;;;;;;;;;;
09/11/2008;6;8;12;19;37;51;55;S«O RAIMUNDO/AM;;;;;;;;;;;;;;;;;
16/11/2008;8;21;30;35;49;69;71;GOIµS/GO;;;;;;;;;;;;;;;;;
23/11/2008;13;28;31;41;52;61;80;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
30/11/2008;9;35;36;45;54;64;76;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
07/12/2008;19;25;37;42;63;75;79;BANGU/RJ;;;;;;;;;;;;;;;;;
14/12/2008;8;19;41;47;50;71;78;BARUERI/SP;;;;;;;;;;;;;;;;;
21/12/2008;10;23;42;52;60;66;73;FLAMENGO/RJ;;;;;;;;;;;;;;;;;
28/12/2008;20;21;27;30;64;66;76;SANTOS/SP;;;;;;;;;;;;;;;;;
04/01/2009;20;26;28;34;55;71;76;SPORT/PE;;;;;;;;;;;;;;;;;
10/01/2009;8;16;36;57;60;69;75;UBERL∂NDIA/MG;;;;;;;;;;;;;;;;;
18/01/2009;25;27;29;46;64;73;79;XV PIRACICABA;;;;;;;;;;;;;;;;;
24/01/2009;16;20;33;52;59;65;80;ATLêTICO/MG;;;;;;;;;;;;;;;;;
01/02/2009;12;17;20;27;36;38;69;CEARµ/CE;;;;;;;;;;;;;;;;;
15/02/2009;15;27;28;30;43;52;67;MAR÷LIA/SP;;;;;;;;;;;;;;;;;
22/02/2009;1;29;38;42;53;55;71;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
28/02/2009;1;13;16;44;60;66;71;GAMA/DF;;;;;;;;;;;;;;;;;
07/03/2009;8;18;20;38;40;48;71;FLAMENGO/RJ;;;;;;;;;;;;;;;;;
15/03/2009;14;26;37;43;60;69;77;ATLêTICO/GO;;;;;;;;;;;;;;;;;
11/04/2009;2;9;27;30;38;61;72;SPORT/PE;;;;;;;;;;;;;;;;;
18/04/2009;23;24;39;53;54;55;69;RIO BRANCO/ES;;;;;;;;;;;;;;;;;
25/04/2009;4;14;41;42;50;64;70;JUVENTUDE/RS;;;;;;;;;;;;;;;;;
02/05/2009;16;19;33;59;69;70;80;INTERNACIONAL/RS;;;;;;;;;;;;;;;;;
09/05/2009;13;17;29;45;48;56;62;AMêRICA/MG;;;;;;;;;;;;;;;;;
16/05/2009;40;44;51;56;64;71;77;SERGIPE/SE;;;;;;;;;;;;;;;;;
23/05/2009;11;14;28;36;59;72;79;CORITIBA/PR;;;;;;;;;;;;;;;;;
30/05/2009;4;16;17;24;31;59;71;UBERL∂NDIA/MG;;;;;;;;;;;;;;;;;
06/06/2009;13;20;21;32;70;74;79;ATLêTICO/GO;;;;;;;;;;;;;;;;;
13/06/2009;4;13;24;41;49;52;80;REMO/PA;;;;;;;;;;;;;;;;;
20/06/2009;5;8;10;38;55;71;78;TUNA LUSO/PA;;;;;;;;;;;;;;;;;
27/06/2009;6;8;18;19;45;46;73;MAR÷LIA/SP;;;;;;;;;;;;;;;;;
04/07/2009;3;8;9;27;28;52;78;PAYSANDU/PA;;;;;;;;;;;;;;;;;
11/07/2009;1;6;21;26;36;40;55;PORT DESPORT;;;;;;;;;;;;;;;;;
18/07/2009;3;7;39;42;48;57;75;TREZE/PB;;;;;;;;;;;;;;;;;
25/07/2009;3;20;25;31;40;51;60;AMêRICA/RJ;;;;;;;;;;;;;;;;;
01/08/2009;6;12;22;50;52;59;72;RIVER/PI;;;;;;;;;;;;;;;;;
08/08/2009;25;34;46;51;52;64;76;TREZE/PB;;;;;;;;;;;;;;;;;
15/08/2009;19;20;23;44;49;57;64;BANGU/RJ;;;;;;;;;;;;;;;;;
22/08/2009;22;38;39;44;48;52;56;VIT‡RIA/BA;;;;;;;;;;;;;;;;;
29/08/2009;2;8;37;39;46;52;80;NACIONAL/AM;;;;;;;;;;;;;;;;;
05/09/2009;8;15;20;42;43;44;48;CRB/AL;;;;;;;;;;;;;;;;;
12/09/2009;6;7;12;15;66;68;80;AMêRICA/RJ;;;;;;;;;;;;;;;;;
19/09/2009;30;42;43;46;57;63;64;FIGUEIRENSE/SC;;;;;;;;;;;;;;;;;
26/09/2009;11;25;28;48;52;62;78;RORAIMA/RR;;;;;;;;;;;;;;;;;
03/10/2009;3;4;7;10;27;34;73;SAMPAIO CORR“A/MA;;;;;;;;;;;;;;;;;
10/10/2009;9;17;21;36;50;64;67;AMêRICA/MG;;;;;;;;;;;;;;;;;
17/10/2009;19;23;32;41;55;71;80;JUVENTUS/SP;;;;;;;;;;;;;;;;;
24/10/2009;11;21;25;34;37;55;72;VASCO DA GAMA/RJ;;;;;;;;;;;;;;;;;
31/10/2009;9;18;19;40;60;65;75;PALMEIRAS/SP;;;;;;;;;;;;;;;;;
07/11/2009;4;8;10;41;62;72;73;RIVER/PI;;;;;;;;;;;;;;;;;
14/11/2009;44;65;68;69;71;73;76;S«O PAULO/SP;;;;;;;;;;;;;;;;;
21/11/2009;5;12;17;25;52;57;76;ATLêTICO/GO;;;;;;;;;;;;;;;;;
28/11/2009;1;4;9;39;40;56;62;YPIRANGA/AP;;;;;;;;;;;;;;;;;
05/12/2009;4;8;17;30;46;47;60;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
12/12/2009;7;12;34;46;52;56;79;IPATINGA/MG;;;;;;;;;;;;;;;;;
19/12/2009;13;30;34;36;67;73;74;AMêRICA/RN;;;;;;;;;;;;;;;;;
26/12/2009;4;9;20;32;36;51;80;PORT DESPORT;;;;;;;;;;;;;;;;;
09/01/2010;4;15;38;40;45;60;66;AMêRICA/RJ;;;;;;;;;;;;;;;;;
16/01/2010;5;28;35;40;41;50;71;GOIµS/GO;;;;;;;;;;;;;;;;;
23/01/2010;5;12;28;52;60;63;66;LONDRINA/PR;;;;;;;;;;;;;;;;;
30/01/2010;14;36;38;58;70;72;74;PAYSANDU/PA;;;;;;;;;;;;;;;;;
06/02/2010;1;46;59;60;63;76;80;CEARµ/CE;;;;;;;;;;;;;;;;;
13/02/2010;26;28;34;45;48;49;77;GAMA/DF;;;;;;;;;;;;;;;;;
20/02/2010;3;7;16;21;42;71;80;RORAIMA/RR;;;;;;;;;;;;;;;;;
27/02/2010;4;58;61;62;66;69;80;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
06/03/2010;2;3;10;17;51;52;75;MAR÷LIA/SP;;;;;;;;;;;;;;;;;
13/03/2010;11;17;18;19;59;73;75;INTER LIMEIRA/SP;;;;;;;;;;;;;;;;;
20/03/2010;6;9;13;38;46;58;80;BAHIA/BA;;;;;;;;;;;;;;;;;
27/03/2010;5;20;26;34;38;78;79;CORINTHIANS/SP;;;;;;;;;;;;;;;;;
03/04/2010;8;10;12;15;51;66;68;SANTOS/SP;;;;;;;;;;;;;;;;;
10/04/2010;3;14;24;41;42;59;63;UNI«O S«O JO«O/SP;;;;;;;;;;;;;;;;;
17/04/2010;1;2;8;13;31;67;69;AMêRICA/RJ;;;;;;;;;;;;;;;;;
